cik,company,ticker,form,filing_date,report_date,accession,primary_document,doc_url,is_inline_xbrl,doc_id,doc_bytes,doc_status
21344,The Coca-Cola Company,KO,10-K,2024-02-20,2023-12-31,0000021344-24-000009,ko-20231231.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/ko-20231231.htm,1,0000021344_0000021344-24-000009,4161309,ok
21344,The Coca-Cola Company,KO,10-K,2025-02-20,2024-12-31,0000021344-25-000011,ko-20241231.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134425000011/ko-20241231.htm,1,0000021344_0000021344-25-000011,3930907,ok
354950,"The Home Depot, Inc.",HD,10-K,2019-03-28,2019-02-03,0000354950-19-000010,hd_10kx02032019.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm,0,0000354950_0000354950-19-000010,2039748,ok
354950,"The Home Depot, Inc.",HD,10-K,2020-03-25,2020-02-02,0000354950-20-000015,hd10k02022020.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/hd10k02022020.htm,1,0000354950_0000354950-20-000015,2622554,ok
354950,"The Home Depot, Inc.",HD,10-K,2021-03-24,2021-01-31,0000354950-21-000089,hd-20210131.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/hd-20210131.htm,1,0000354950_0000354950-21-000089,2589706,ok
354950,"The Home Depot, Inc.",HD,10-K,2022-03-23,2022-01-30,0000354950-22-000070,hd-20220130.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm,1,0000354950_0000354950-22-000070,2441897,ok
354950,"The Home Depot, Inc.",HD,10-K,2023-03-15,2023-01-29,0000354950-23-000059,hd-20230129.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm,1,0000354950_0000354950-23-000059,2121105,ok
354950,"The Home Depot, Inc.",HD,10-K,2024-03-13,2024-01-28,0000354950-24-000062,hd-20240128.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/hd-20240128.htm,1,0000354950_0000354950-24-000062,2018747,ok
80424,The Procter & Gamble Company,PG,10-K,2019-08-06,2019-06-30,0000080424-19-000050,fy181910-kreport.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/fy181910-kreport.htm,1,0000080424_0000080424-19-000050,3800505,ok
80424,The Procter & Gamble Company,PG,10-K,2020-08-06,2020-06-30,0000080424-20-000053,pg-20200630.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/pg-20200630.htm,1,0000080424_0000080424-20-000053,4503588,ok
80424,The Procter & Gamble Company,PG,10-K,2021-08-06,2021-06-30,0000080424-21-000100,pg-20210630.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm,1,0000080424_0000080424-21-000100,3335074,ok
80424,The Procter & Gamble Company,PG,10-K,2022-08-05,2022-06-30,0000080424-22-000064,pg-20220630.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042422000064/pg-20220630.htm,1,0000080424_0000080424-22-000064,3333576,ok
80424,The Procter & Gamble Company,PG,10-K,2023-08-04,2023-06-30,0000080424-23-000073,pg-20230630.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm,1,0000080424_0000080424-23-000073,2425283,ok
80424,The Procter & Gamble Company,PG,10-K,2024-08-05,2024-06-30,0000080424-24-000083,pg-20240630.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042424000083/pg-20240630.htm,1,0000080424_0000080424-24-000083,2458121,ok
1744489,The Walt Disney Company,DIS,10-K,2019-11-20,2019-09-28,0001744489-19-000225,fy2019q410k.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/fy2019q410k.htm,1,0001744489_0001744489-19-000225,7454618,ok
1744489,The Walt Disney Company,DIS,10-K,2020-11-25,2020-10-03,0001744489-20-000197,dis-20201003.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/dis-20201003.htm,1,0001744489_0001744489-20-000197,6111384,ok
1744489,The Walt Disney Company,DIS,10-K,2021-11-24,2021-10-02,0001744489-21-000220,dis-20211002.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/dis-20211002.htm,1,0001744489_0001744489-21-000220,5307704,ok
1744489,The Walt Disney Company,DIS,10-K,2022-11-29,2022-10-01,0001744489-22-000213,dis-20221001.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm,1,0001744489_0001744489-22-000213,5199688,ok
1744489,The Walt Disney Company,DIS,10-K,2023-11-21,2023-09-30,0001744489-23-000216,dis-20230930.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448923000216/dis-20230930.htm,1,0001744489_0001744489-23-000216,4941426,ok
1744489,The Walt Disney Company,DIS,10-K,2024-11-14,2024-09-28,0001744489-24-000276,dis-20240928.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448924000276/dis-20240928.htm,1,0001744489_0001744489-24-000276,4380457,ok
732712,Verizon Communications Inc.,VZ,10-K,2020-02-21,2019-12-31,0000732712-20-000014,a2019q410-k.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm,1,0000732712_0000732712-20-000014,1393308,ok
732712,Verizon Communications Inc.,VZ,10-K,2021-02-25,2020-12-31,0000732712-21-000012,vz-20201231.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,1,0000732712_0000732712-21-000012,5085986,ok
732712,Verizon Communications Inc.,VZ,10-K,2022-02-11,2021-12-31,0000732712-22-000008,vz-20211231.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,1,0000732712_0000732712-22-000008,5031661,ok
732712,Verizon Communications Inc.,VZ,10-K,2023-02-10,2022-12-31,0000732712-23-000012,vz-20221231.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,1,0000732712_0000732712-23-000012,5033727,ok
732712,Verizon Communications Inc.,VZ,10-K,2024-02-09,2023-12-31,0000732712-24-000010,vz-20231231.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/vz-20231231.htm,1,0000732712_0000732712-24-000010,3835518,ok
732712,Verizon Communications Inc.,VZ,10-K,2025-02-12,2024-12-31,0000732712-25-000006,vz-20241231.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271225000006/vz-20241231.htm,1,0000732712_0000732712-25-000006,3941299,ok
104169,Walmart Inc.,WMT,10-K,2019-03-28,2019-01-31,0000104169-19-000016,wmtform10-kx1312019.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm,0,0000104169_0000104169-19-000016,3407491,ok
104169,Walmart Inc.,WMT,10-K,2020-03-20,2020-01-31,0000104169-20-000011,wmtform10-kx1312020.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm,1,0000104169_0000104169-20-000011,3720655,ok
104169,Walmart Inc.,WMT,10-K,2021-03-19,2021-01-31,0000104169-21-000033,wmt-20210131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm,1,0000104169_0000104169-21-000033,3033058,ok
104169,Walmart Inc.,WMT,10-K,2022-03-18,2022-01-31,0000104169-22-000012,wmt-20220131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,1,0000104169_0000104169-22-000012,3092737,ok
104169,Walmart Inc.,WMT,10-K,2023-03-17,2023-01-31,0000104169-23-000020,wmt-20230131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,1,0000104169_0000104169-23-000020,2594628,ok
104169,Walmart Inc.,WMT,10-K,2024-03-15,2024-01-31,0000104169-24-000056,wmt-20240131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,1,0000104169_0000104169-24-000056,2323877,ok
